ds,PCA1,PCA2,PCA3,PCA4,y,unique_id,is_weekend,is_holiday
01/29/2025,3.285835916959865,2.9650791156548872,2.507747334840065,-0.780375613,48747.6,movie,0,1
01/30/2025,3.153257835763611,3.6698627595763247,1.036666351498332,-0.759736647,48034.18,movie,0,1
01/31/2025,3.7207494233421783,3.937037751329144,0.6904866863378382,-0.523617532,61915.02,movie,0,1
02/01/2025,4.139827453568716,3.3214117945975246,0.6258491697316826,-0.293746981,73156.38,movie,1,1
02/02/2025,4.476197769659342,2.3138933647318023,1.305456863344647,-0.000535717,81277.31,movie,1,1
02/03/2025,4.735473548141223,1.6467225862100299,1.5810871196311527,0.025642484325658018,84362.81,movie,0,1
02/04/2025,4.9272859088585825,1.337660552523208,1.8543695651588212,0.08063117692251481,86670.81,movie,0,1
02/05/2025,4.4382559032047775,0.807660091375805,1.1441252689749621,-0.013290852,64954.74,movie,0,1
02/06/2025,4.2917287883450355,0.30097410422740944,1.0778663878035761,0.03492409548352728,58597.96,movie,0,1
02/07/2025,4.382275981148086,-0.512010497,1.3762477112111313,-0.203026157,54170.05,movie,0,1
02/08/2025,4.673215783528591,-0.126392984,1.3713325209908847,-0.129659029,62008.55,movie,1,1
02/09/2025,5.05610573859493,0.6661187898791515,1.3868379761163823,0.09217247183347425,76153.14,movie,1,1
02/10/2025,4.064803823571002,0.358309908840909,-0.248657401,0.10014098811189721,48167,movie,0,1
02/11/2025,3.9940739079955954,0.23773147313066725,-0.131520258,0.38793723270398195,48214.54,movie,0,1
02/12/2025,4.221393494374746,-0.020145713,0.41476762521151483,0.4982104561431485,53341.05,movie,0,1
02/13/2025,3.690169578345102,-0.368250538,-0.452524709,0.27216413965373304,36035.46,movie,0,1
02/14/2025,4.071021368333848,0.9456029605350041,0.30083157978409053,0.4061193426843085,58111.08,movie,0,1
02/15/2025,4.805982029620635,1.353149322644971,1.0653274470787013,0.9229080297833602,78788.1,movie,1,1
02/16/2025,4.399332102963052,0.19074946620484087,0.629103941139095,0.864805495559259,61417.3,movie,1,1
02/17/2025,3.095622627318418,-1.072946585,-0.871501122,0.27873911610392166,19393.37,movie,0,1
02/18/2025,2.9417279330442767,-0.828262064,-1.224450362,0.11515007003964653,16648.61,movie,0,1
02/19/2025,2.8205246134607034,-0.490598056,-1.710991489,0.01319101198537809,14577.26,movie,0,1
02/20/2025,2.73677293399974,-0.388718695,-1.926306849,-0.094816575,12831.51,movie,0,1
02/21/2025,3.1931355667592625,0.024747271147677653,-1.55711288,-0.069268841,22884.13,movie,0,1
02/22/2025,4.29702538696405,0.6596716354492833,-0.163391135,0.2540877369218842,52102.27,movie,1,1
02/23/2025,3.8106070446458586,-0.549016811,-0.307898967,0.15106938619819865,35181.46,movie,1,0
02/24/2025,2.524266237075017,-1.490937199,-1.09491022,-0.131936908,7450.84,movie,0,0
02/25/2025,2.24741588375295,-1.38061678,-1.153763269,0.010928738864686352,6132.19,movie,0,0
02/26/2025,2.1109817419446046,-1.073386428,-1.477389345,0.01825145305397326,5329.79,movie,0,0
02/27/2025,1.8686813002876315,-0.855279033,-1.631039034,0.2949139594212977,4888.29,movie,0,0
02/28/2025,2.00223092648589,-0.49192349,-1.568391379,0.6562708196753186,9661.08,movie,0,0
03/01/2025,2.641442702111762,0.13910382103129024,-1.309065731,1.0001689942021472,23439.88,movie,1,0
03/02/2025,2.3750793018688205,-0.223318726,-1.730207341,0.5657461745471002,14092.36,movie,1,0
03/03/2025,1.7500924314825579,-0.442106711,-2.122850872,-0.26394483,2813.3,movie,0,0
03/04/2025,1.7070445255962907,-0.367935001,-2.182840193,-0.398207281,2466.33,movie,0,0
03/05/2025,1.6715560257865556,-0.764130598,-1.720845255,-0.351228661,2291.24,movie,0,0
03/06/2025,1.6609532869490375,-0.814244218,-1.650393294,-0.360351607,2279.5,movie,0,0
03/07/2025,1.7458818248548598,-0.493856536,-1.48827625,-0.319601873,5619.51,movie,0,0
